Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Privātā pirmsskolas izglītības iestāde ""Mazais gudrinieks""","3801803340","Komercsabiedrības struktūrvienība","AGNESE NUKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Mazais gudrinieks""","SIA ""Mazais gudrinieks""",Nē,"MAZĀ NOMETŅU IELA 3 - 82, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","25186828","mazaisgudrinieks@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazais Princis""","3701803076","Komercsabiedrības struktūrvienība","EVIJA KRONBERGA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","""Rīgas Franču Skola"" SIA","""Rīgas Franču Skola"" SIA",Nē,"BIĶERNIEKU IELA 33A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","20260269","aivars.strautins@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazie stārķēni""","3701803011","Komercsabiedrības struktūrvienība","INGA KOKARE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""L co L""","Sabiedrība ar ierobežotu atbildību ""L co L""",Nē,"KAIVAS IELA 50 k-1 - 130D, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1021","29795741","bambinito85@tvnet.lv"
"Privātā pirmsskolas izglītības iestāde ""Maziņš ES""","3601802947","Komercsabiedrības struktūrvienība","VALDA GRĪNBERGA-BRĪVĪBA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Maziņš ES""","SIA ""Maziņš ES""",Nē,"MATĪSA IELA 59 - 16, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","29344344","mazinses@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Maziņš kā jūra""","3701802741","Komercsabiedrības struktūrvienība","LAIMA DREIMANE-ZVILNA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Skolmeistars""","SIA ""Skolmeistars""",Nē,"LIELIRBES IELA 13 - 4, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","26802248","skolmeistars@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Mazo bērnu skola""","4101802887","Biedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","""KULDĪGAS MANTOJUMS""","""KULDĪGAS MANTOJUMS""",Nē,"KAĻĶU IELA 33, KULDĪGA, KULDĪGAS NOVADS, LV-3301","29555057","kuldigasmantojums@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Mazputniņi""","4301802980","Komercsabiedrības struktūrvienība","IVETA ŠKRABA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""VISS BĒRNIEM""","Sabiedrība ar ierobežotu atbildību ""VISS BĒRNIEM""",Nē,"STRAUTA IELA 1 - 8, UPESCIEMS, GARKALNES NOVADS, LV-2137","29132822","inaralaze@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazulītis Rū""","3801802994","Komercsabiedrības struktūrvienība","LINDA MEIERE",0,2,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Mazulītis Rū""","Sabiedrība ar ierobežotu atbildību ""Mazulītis Rū""",Nē,"ZEMĪTES IELA 6A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","67610683","riga@mazulitisru.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazulītis""","3701802810","Komercsabiedrības struktūrvienība","MĀRA NIEDRA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA Bero JS","SIA Bero JS",Nē,"ŪNIJAS IELA 54, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1048","25440504, 26436182","ppiimazulitis@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Meža pasaka"" ","3901803086","Komercsabiedrības struktūrvienība","TATJANA MIKĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SKASKA SIA","SKASKA SIA",Nē,"KOKNESES PROSPEKTS 15 - 1, ZIEMEĻU RAJONS, RĪGA, LV-1014","29376125","info.skaska@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mikausis""","4301802837","Komercsabiedrības struktūrvienība","IVETA UMULE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""MIKAUSIS""","Sabiedrība ar ierobežotu atbildību ""MIKAUSIS""",Nē,"SKOLAS IELA 10 - 49, OGRE, OGRES NOVADS, LV-5001","26352736","mikausis@mikausis.lv"
"Privātā pirmsskolas izglītības iestāde ""Mikija skoliņa""","4301802995","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Bērnu attīstības centrs ""Pīlīte""""","Sabiedrība ar ierobežotu atbildību ""Bērnu attīstības centrs ""Pīlīte""""",Nē,"MEIJU IELA 4, MĀRUPE, MĀRUPES NOVADS, LV-2167","29641679","mikijaskolina@mikijaskolina.lv"
"Privātā pirmsskolas izglītības iestāde ""Montesori bērnu māja ""Darbīgās rociņas""""","3601802858","Komercsabiedrības struktūrvienība","INGŪNA MIKUDA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Darbīgās rociņas""","Sabiedrība ar ierobežotu atbildību ""Darbīgās rociņas""",Nē,"STABU IELA 63, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011","29188332","info@darbigasrocinas.lv"
"Privātā pirmsskolas izglītības iestāde ""Montesori puķu dārzs""","3901802914","Komercsabiedrības struktūrvienība","VITA GRAUDIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Puķu dārzs""","Sabiedrība ar ierobežotu atbildību ""Puķu dārzs""",Nē,"ELIZABETES IELA 8 - 6, ZIEMEĻU RAJONS, RĪGA, LV-1010","29400188, 29117609","zane@montesori.lv"
"Privātā pirmsskolas izglītības iestāde ""Montessori bērnu attīstības centrs ""Nākotnes māja""""","3701803015","Komercsabiedrības struktūrvienība","SANDRA HAĻČICKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Nākotnes māja""","Sabiedrība ar ierobežotu atbildību ""Nākotnes māja""",Nē,"KRIŠJĀŅA VALDEMĀRA IELA 72A - 12, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","29518846","nakotnesmaja@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Motek""","3701803018","Biedrības struktūrvienība","LITA VASKĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Rīgas Ebreju kopiena","Rīgas Ebreju kopiena",Nē,"MIERA IELA 64, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","29800365","motek@motek.lv"
"Privātā pirmsskolas izglītības iestāde ""m'Pipariņš""","4301802707","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Bērnudārzs ""m' Pipariņš""""","SIA ""Bērnudārzs ""m' Pipariņš""""",Nē,"KONRĀDU IELA 5, MĀRUPE, MĀRUPES NOVADS, LV-2167","22006698","info@mazaispiparins.lv"
"Privātā pirmsskolas izglītības iestāde ""MūsMājas""","3601803176","Komercsabiedrības struktūrvienība","INGA ANDRĒJEVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","sabiedrība ar ierobežotu atbildību ""Bērnu attīstības centrs ""MūsMājas""""","sabiedrība ar ierobežotu atbildību ""Bērnu attīstības centrs ""MūsMājas""""",Nē,"ZVAIGŽŅU IELA 11 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","27720917","inga.andrejeva@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Mūsu Poga""","3701803302","Komercsabiedrības struktūrvienība","KRISTĪNE APSE",0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Ideju lauks""","Sabiedrība ar ierobežotu atbildību ""Ideju lauks""",Nē,"ŪNIJAS IELA 5 - 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","+37126495748","kristine.skolapoga@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Otiņš""","4301803115","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""SINAIG""","Sabiedrība ar ierobežotu atbildību ""SINAIG""",Nē,"BEINĀRA IELA 2B, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123","22116132","otinsppii@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Panda""","3701802734","Komercsabiedrības struktūrvienība","INETA STROŽA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Bērnudārzs""","SIA ""Bērnudārzs""",Nē,"AINAVAS IELA 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","25440504","bernudarzspanda@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""PASAKU VALSTĪBA""","4301802698","Komercsabiedrības struktūrvienība","ILZE PĒTERSONE-JEZUPENOKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""LAIK""","SIA ""LAIK""",Nē,"GAUJAS IELA 2B, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","67385674","vaditaja.pasakuvalstiba@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Paulas Karlsons""","2801803233","Komercsabiedrības struktūrvienība","MĀRĪTE ZVIRGZDIŅA-KARPOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Paulas Karlsons""","SIA ""Paulas Karlsons""",Nē,"KADIĶU CEĻŠ 126, JELGAVA, LV-3002","27039644","karlsons10@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Pepijas skoliņa""","3801803117","Komercsabiedrības struktūrvienība","KRISTĪNE STRAUME",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""KRESS 40""","Sabiedrība ar ierobežotu atbildību ""KRESS 40""",Nē,"ĶEMERU IELA 5 - 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","29588352","kristinestraume@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Pērļu māja""","3601802964","Komercsabiedrības struktūrvienība","ZANE BALTGAILE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA Privātā pirmsskolas izglītības iestāde ""Pērļu māja""","SIA Privātā pirmsskolas izglītības iestāde ""Pērļu māja""",Nē,"ZILUPES IELA 33 - 22, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","25660606","perlumaja@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Pētnieku darbnīca""","3701802639","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Pētnieku darbnīca""","Sabiedrība ar ierobežotu atbildību ""Pētnieku darbnīca""",Nē,"DZIRNUPES IELA 3, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","29491639","info@petniekudarbnica.lv"
"Privātā pirmsskolas izglītības iestāde ""Pikucis""","3001803129","Komercsabiedrības struktūrvienība","SVETLANA SKRĪVERE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Studiums""","SIA ""Studiums""",Nē,"ALEJAS IELA 13 - 4, LIEPĀJA, LV-3401","26486946","pii.pikucis@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Pirmie Soļi""","3601803414","Komercsabiedrības struktūrvienība","AĻONA ZMITROVIČA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Montessori Institute Latvia""","SIA ""Montessori Institute Latvia""",Nē,"DRAVNIEKU IELA 4 - 17, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021","26398797","info@montessori-institute.lv"
"Privātā pirmsskolas izglītības iestāde ""PLAYHOUSE""","3001802977","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""PLAYHOUSE""","SIA ""PLAYHOUSE""",Nē,"KRŪMU IELA 52, LIEPĀJA, LV-3405","26340388","siaplayhouse@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Prosum""","3701802775","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Prosum""","Sabiedrība ar ierobežotu atbildību ""Prosum""",Nē,"AINAVAS IELA 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","67714087","daubure@prosum.lv"
"Privātā pirmsskolas izglītības iestāde ""Pūcēnu skola""","3701803089","Komercsabiedrības struktūrvienība","GITA MUSIJENKO",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Pūcēnu skola""","SIA ""Pūcēnu skola""",Nē,"ROPAŽU IELA 41 - 15, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","25126526","pucenuskola@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Pūcīte""","3701802709","Komercsabiedrības struktūrvienība","EVIJA LUKSE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""BĒRNU RADOŠAIS CENTRS PŪCĪTE""","Sabiedrība ar ierobežotu atbildību ""BĒRNU RADOŠAIS CENTRS PŪCĪTE""",Nē,"RAUNAS IELA 32 - 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","29155444 67565601","info@pucite.lv"
"Privātā pirmsskolas izglītības iestāde ""Pūčuks""","2801802059","Komercsabiedrības struktūrvienība","SANITA VIĻUMA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""PŪČUKS""","SIA ""PŪČUKS""",Nē,"NIEDRU IELA 4, JELGAVA, LV-3001","63020137, 63037142","inese-krasmane@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Puķuzirnis""","3601802944","Komercsabiedrības struktūrvienība","LIENE KRISTAPSONE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Alauksts IM""","Sabiedrība ar ierobežotu atbildību ""Alauksts IM""",Nē,"ALAUKSTA IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","29488204,26563080","pukuzirnis.info@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Pumpurdārzs""","4301802679","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""PUMPURDĀRZS""","SIA ""PUMPURDĀRZS""",Nē,"LĪVKALNA IELA 26, SIGULDA, SIGULDAS NOVADS, LV-2150","67972073","pumpurdarzs@apollo.lv"
"Privātā pirmsskolas izglītības iestāde ""Raibā pupa""","3901802936","Komercsabiedrības struktūrvienība","VALIJA JASULAŅECA",0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""BCRP Raibā pupa""","Sabiedrība ar ierobežotu atbildību ""BCRP Raibā pupa""",Nē,"EMMAS IELA 19 - 44, ZIEMEĻU RAJONS, RĪGA, LV-1015","28646644","info@raibapupa.lv"
"Privātā pirmsskolas izglītības iestāde ""Rakaris""","3501802978","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""K.R.K.G.""","Sabiedrība ar ierobežotu atbildību ""K.R.K.G.""",Nē,"RIEKSTU IELA 11 - 3, KURZEMES RAJONS, RĪGA, LV-1055","26619503","bernudarzs.rakari@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Remeos""","3601802146","Komercsabiedrības struktūrvienība","REGĪNA SAKAITE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību firma ""REMEOS""","Sabiedrība ar ierobežotu atbildību firma ""REMEOS""",Nē,"ĢERTRŪDES IELA 127 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","67280131, 29645522","remeos@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""REZIDENCE LAUMIŅA""","3701802764","Komercsabiedrības struktūrvienība","ITA GRAŽULE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","AL818 SIA","AL818 SIA",Nē,"BĀKŪŽU IELA 6, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","29427212, 26729254","info@lauminas-rezidence.lv"
"Privātā pirmsskolas izglītības iestāde ""Rotaļkāre""","3601802976","Komercsabiedrības struktūrvienība","AGITA ČISTJAKOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Filii""","SIA ""Filii""",Nē,"ALEKSANDRA ČAKA IELA 124 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1012","26311971","rotalkare@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Rūķu nams""","3701802636","Komercsabiedrības struktūrvienība","SIGITA DROZDOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""SIMVA""","Sabiedrība ar ierobežotu atbildību ""SIMVA""",Nē,"UMURGAS IELA 18, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1028","26516524","sigitadrozdova@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Saliņa""","2801803093","Komercsabiedrības struktūrvienība","SIGITA ALEKSANDROVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""PETZĀLI""","Sabiedrība ar ierobežotu atbildību ""PETZĀLI""",Nē,"ATMODAS IELA 86 - 17, JELGAVA, LV-3007","26776278","salina_sa@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Saulainie Austriņi""","3801803020","Komercsabiedrības struktūrvienība","INGA AUSTRIŅA-ZAVADSKA",0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Saulainie Austriņi""","Sabiedrība ar ierobežotu atbildību ""Saulainie Austriņi""",Nē,"VIENĪBAS GATVE 109, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058"," 29548991","saulainieaustrini@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Saules bērnu dārzs""","2801802893","Komercsabiedrības struktūrvienība","LITA SAFRANOVIČA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Saules bērnu dārzs""","SIA ""Saules bērnu dārzs""",Nē,"KADIĶU CEĻŠ 19, JELGAVA, LV-3002","29645522","remeos@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs Mežaparkā""","3901803096","Komercsabiedrības struktūrvienība","IEVA BRICE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Urb.Com""","SIA ""Urb.Com""",Nē,"MEŽA PROSPEKTS 30, ZIEMEĻU RAJONS, RĪGA, LV-1014","20215853","mezaparka.saule@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs""","4301802975","Komercsabiedrības struktūrvienība","SANTA PURVIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""M.M""","Sabiedrība ar ierobežotu atbildību ""M.M""",Nē,"AKMEŅU IELA 18 - 18, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1048","22322476","saulesdarzs@katesskola.lv"
"Privātā pirmsskolas izglītības iestāde ""Saules kaķis""","4301803088","Komercsabiedrības struktūrvienība","LORINA SKURJATE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Kampio""","Sabiedrība ar ierobežotu atbildību ""Kampio""",Nē,"UPES PROSPEKTS 22 - 6, OGRE, OGRES NOVADS, LV-5001","26780727","sia.kampio@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Saulespuķe""","4301802855","Komercsabiedrības struktūrvienība","SANITA MIHĒJEVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Bērnu attīstības centrs SAULESPUĶE""","SIA ""Bērnu attīstības centrs SAULESPUĶE""",Nē,"MAZCENU ALEJA 25 - 18, JAUNMĀRUPE, MĀRUPES NOVADS, LV-2166","29838511","info@spuke.lv"
"Privātā pirmsskolas izglītības iestāde ""SAULESPUĶĪTE""","3001802860","Biedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Biedrība ""ĢIMENES SAULESPUĶE""","Biedrība ""ĢIMENES SAULESPUĶE""",Nē,"KAIJU IELA 32, LIEPĀJA, LV-3401","259999871",
"Privātā pirmsskolas izglītības iestāde ""Saulīte""","4301802390","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""PAELIKA""","SIA ""PAELIKA""",Nē,"ĪRISU IELA 16, GRĒNES, OLAINES PAGASTS, OLAINES NOVADS, LV-2127","67963069","ilona.skruzmane@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Sensorais bērnudārzs ""Emīla skola""""","3501803341","Komercsabiedrības struktūrvienība","ELĪNA GUBĀTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Izglītības un attīstības centrs ""Emīla skola""""","SIA ""Izglītības un attīstības centrs ""Emīla skola""""",Nē,"SAULGOŽU IELA 31, KURZEMES RAJONS, RĪGA, LV-1055","25434634","info@emila-skola.com"
"Privātā pirmsskolas izglītības iestāde ""Sirsniņskola""","3001802801","Komercsabiedrības struktūrvienība","MĀRTIŅŠ ŪDRIS",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Sirsniņskola""","Sabiedrība ar ierobežotu atbildību ""Sirsniņskola""",Nē,"GANĪBU IELA 118/120, LIEPĀJA, LV-3401","29353314","info@sirsninskola.lv"
"Privātā pirmsskolas izglītības iestāde ""Six Senses International Preschool""","3901803077","Komercsabiedrības struktūrvienība","JŪLIJA KOVAĻOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Eureka International""","SIA ""Eureka International""",Nē,"VISBIJAS PROSPEKTS 47, ZIEMEĻU RAJONS, RĪGA, LV-1014","25133508","riga@6sensesinternational.com"
