Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
528,RĪGA,3813900701,Rīgas Mūzikas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KALNCIEMA IELA 160, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",rmvs@riga.lv,67612391,VĒSMA GRUGULE,0,275
529,RĪGA,3813900724,Rīgas Zolitūdes ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RUSES IELA 22, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",rzolg@riga.lv,"67405913, 67405912",SVETLANA SEMENKO,0,1487
530,RĪGA,3813900725,Rīgas 53. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MELNSILA IELA 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",r53vs@riga.lv,67611126,INGUNA SLAPIŅA,0,436
531,RĪGA,3813900726,Rīgas 61. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PĀRSLAS IELA 14, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",r61vs@riga.lv,"67615098, 67618962",NATAĻJA MITROFANOVA,76,233
532,RĪGA,3813900727,Rīgas 95. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BRUKNAS IELA 5, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",r95vs@riga.lv,"67474186, 67474185",SERGEJS VERHOVSKIS,103,1034
533,RĪGA,3813900728,Rīgas 47. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKAISTKALNES IELA 7, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",r47vs@riga.lv,67629267,INETA KAREĻINA,0,493
534,RĪGA,3813903304,Rīgas Ziepniekkalna vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"OZOLCIEMA IELA 26, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",rzvs@riga.lv,"67675805, 67670722",ASTRĪDA RAČKOVSKA,76,989
535,RĪGA,3813903311,Rīgas 14. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MARGRIETAS IELA 4, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",r14vs@riga.lv,"67611023, 67614946",NORA SMILGA,0,216
536,RĪGA,3819900703,Āgenskalna Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"LAVĪZES IELA 2a, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",avg@riga.lv,"67611185, 67614133",INĀRA GAILE,0,849
537,RĪGA,3822900729,Rīgas 3. pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"TELTS IELA 2a, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",r3sps@riga.lv,67612643,DACE SKERANSKA,21,114
538,RĪGA,3822903314,Rīgas Ēbelmuižas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"GRAUDU IELA 21, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",repsk@riga.lv,67181909,KRISTIĀNA PAUNIŅA,0,81
539,RĪGA,3911803029,Rīgas Montessori sākumskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PULKVEŽA BRIEŽA IELA 4 - 2, ZIEMEĻU RAJONS, RĪGA, LV-1010",bernumaja@gmail.com,26161755,KATE PELĒCE,0,17
540,RĪGA,3912802830,ŽILA VERNA RĪGAS FRANČU SKOLA,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PATVERSMES IELA 20, ZIEMEĻU RAJONS, RĪGA, LV-1005",administrateur@ecolejulesverne.lv,29141791,AUDREN SEGUILLON,160,199
541,RĪGA,3912900813,Rīgas 7. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"JAUNCIEMA 4. ŠĶĒRSLĪNIJA 4, ZIEMEĻU RAJONS, RĪGA, LV-1023",r7ps@riga.lv,"67340135, 67348841, 67340179",ILZE DUPATE,0,135
542,RĪGA,3912903313,Rīgas Čiekurkalna pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ČIEKURKALNA 1. LĪNIJA 53, ZIEMEĻU RAJONS, RĪGA, LV-1026",rcps@riga.lv,67474300,ANDŽELA ANDREJEVA,74,162
543,RĪGA,3913803014,RTU inženierzinātņu vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRONVALDA BULVĀRIS 1, ZIEMEĻU RAJONS, RĪGA, LV-1010",skola@rtu.lv,29803738,ALEKSANDRS VOROBJOVS,0,71
544,RĪGA,3913900817,Rīgas 13. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PULKVEŽA BRIEŽA IELA 25, ZIEMEĻU RAJONS, RĪGA, LV-1010",r13vs@riga.lv,"67331909, 67332055, 67331835",LIVETA SPRŪDE,0,707
545,RĪGA,3913900818,Rīgas Rīnūžu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AUGUSTA DOMBROVSKA IELA 88, ZIEMEĻU RAJONS, RĪGA, LV-1015",rrinvs@riga.lv,"67345707, 67344889",DENISS KĻUKINS,94,811
546,RĪGA,3913900820,Rīgas Jāņa Poruka vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAUJAS IELA 23, ZIEMEĻU RAJONS, RĪGA, LV-1026",rjpvs@riga.lv,67519001,ŽANETE TAURIŅA,0,235
547,RĪGA,3913900821,Puškina licejs,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SARKANDAUGAVAS IELA 22, ZIEMEĻU RAJONS, RĪGA, LV-1005",pl@riga.lv,"67393861, 67393813",GAĻINA VOITEKA,0,626
548,RĪGA,3913900823,Rīgas 28. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SLIEŽU IELA 23, ZIEMEĻU RAJONS, RĪGA, LV-1005",r28vs@riga.lv,67395842,GUNTARS JIRGENSONS,0,263
549,RĪGA,3913900824,Rīgas 10. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LENČU IELA 1, ZIEMEĻU RAJONS, RĪGA, LV-1010",r10vs@riga.lv,"67333330, 67333423",NADEŽDA IKAUNIECE,0,840
550,RĪGA,3913900826,Rīgas 31. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKUJU IELA 11, ZIEMEĻU RAJONS, RĪGA, LV-1015",r31vs@riga.lv,67343230,DACE RETIGA,0,528
551,RĪGA,3913900827,Rīgas 46. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKUJU IELA 28, ZIEMEĻU RAJONS, RĪGA, LV-1015",r46vs@riga.lv,"67340360, 67343005",BORISS ANTONOVS,0,458
552,RĪGA,3913901617,Rīgas Kultūru vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GANĪBU DAMBIS 7, ZIEMEĻU RAJONS, RĪGA, LV-1045",rklvs@riga.lv,"67381099, 67969118",DACE LAZDA,0,803
553,RĪGA,3913903312,Rīgas 18. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SĪMAŅA IELA 14, ZIEMEĻU RAJONS, RĪGA, LV-1005",r18vs@riga.lv,67392570,KSENIJA KOZIKA,0,422
554,RĪGA,3913903377,Rīgas 66. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KATRĪNAS IELA 4, ZIEMEĻU RAJONS, RĪGA, LV-1045",r66svs@riga.lv,"67334007, 67323574",ELITA GURULI,0,281
555,RĪGA,3919902869,Rīgas Valsts 2. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"KRIŠJĀŅA VALDEMĀRA IELA 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010",rp2g@riga.lv,67181225,GUNTIS VASIĻEVSKIS,0,811
556,ROJAS NOVADS,4113900619,Rojas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZVEJNIEKU IELA 7, ROJA, ROJAS NOVADS, LV-3264",rojasvidusskola@roja.lv,63291526,SANTA VEIDE,26,292
557,ROPAŽU NOVADS,4313903319,Ropažu novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"Rīgas iela  5, ROPAŽI, ROPAŽU NOVADS, LV-2135",skola@ropazi.lv,27796571,INTA OZOLA,139,579
558,RUCAVAS NOVADS,4112901043,Sikšņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Sikšņu pamatskola"", SIKŠŅI, DUNIKAS PAGASTS, RUCAVAS NOVADS, LV-3480",siksni.p.s@rucava.lv,63453394,SANDRA MALAKAUSKA,15,41
559,RUCAVAS NOVADS,4112902528,Rucavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Rucavas pamatskola"", RUCAVA, RUCAVAS PAGASTS, RUCAVAS NOVADS, LV-3477",skola@rucava.lv,63467115,LIENA TRUMPIKA,0,65
560,RUGĀJU NOVADS,4212900422,Rugāju novada Eglaines pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 3, BENISLAVA, LAZDUKALNA PAGASTS, RUGĀJU NOVADS, LV-4577",eglaine-lazdukalns@inbox.lv,64546819,ILZE BURKA,14,57
561,RUGĀJU NOVADS,4213902769,Rugāju novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KURMENES IELA 87, RUGĀJI, RUGĀJU PAGASTS, RUGĀJU NOVADS, LV-4570",rugvsk@gmail.com,64521335,IVETA ARELKEVIČA,56,154
562,RUNDĀLES NOVADS,4513901324,Pilsrundāles vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Pilsrundāles vidusskola"", PILSRUNDĀLE, RUNDĀLES PAGASTS, RUNDĀLES NOVADS, LV-3921",pilsrundale.skola@rundale.lv,63962223,ANTRA ŽUKOVSKA,66,270
563,RŪJIENAS NOVADS,4413903084,Rūjienas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 30, RŪJIENA, RŪJIENAS NOVADS, LV-4240",rv@rujienasvidusskola.lv,"64263605, 64268136",LINDA ČĀKURE,0,421
564,SALACGRĪVAS NOVADS,4312900160,Krišjāņa Valdemāra Ainažu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PARKA IELA 12, AINAŽI, SALACGRĪVAS NOVADS, LV-4035",ainazu.skola@salacgriva.lv,64043289,IEVA SKUJA,30,75
565,SALACGRĪVAS NOVADS,4312903215,Liepupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Veiksmes"", LIEPUPE, LIEPUPES PAGASTS, SALACGRĪVAS NOVADS, LV-4023",liepupespsk@salacgriva.lv,"64020376, 29486814",ARTA RUBEZE,46,83
566,SALACGRĪVAS NOVADS,4313900159,Salacgrīvas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PĒRNAVAS IELA 31, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033",skola@salacgrivasvsk.lv,"64023060, 64023064",SANITA ŠLEKONE,0,358
567,SALAS NOVADS,4512903237,Biržu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PODVĀZES IELA 1, BIRŽI, SALAS PAGASTS, SALAS NOVADS, LV-5214",birzipsk@inbox.lv,65223007,AIJA GRIŠULE,36,115
568,SALAS NOVADS,4513900261,Salas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 3, SALA, SALAS PAGASTS, SALAS NOVADS, LV-5230",admin@salas.lv,"25478051, 65237780, 65237781",SANITA MADALĀNE,0,270
569,SALASPILS NOVADS,4313901008,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LAUKU IELA 1, SALASPILS, SALASPILS NOVADS, LV-2121",skola@s1vsk.lv,"67947253, 67946814",VERA KALNIŅA,0,1236
570,SALASPILS NOVADS,4313901092,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 6, SALASPILS, SALASPILS NOVADS, LV-2121",skola@vsk2.salaspils.lv,"67947009, 67940950",VENERANDA BOGDĀNE,0,783
571,SALDUS NOVADS,4111903181,Saldus novada pašvaldības Striķu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Striķu skola"", ZVĀRDES PAGASTS, SALDUS NOVADS, LV-3883",striku.pamatskola@saldus.lv,26183753,DAINA ZANDBERGA,44,69
572,SALDUS NOVADS,4111903317,Saldus novada pašvaldības Jaunlutriņu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"MUIŽAS IELA 1, JAUNLUTRIŅI, JAUNLUTRIŅU PAGASTS, SALDUS NOVADS, LV-3876",jaunlutrinu.sakumskola@saldus.lv,63846667,DACE KALNIŅA,30,17
573,SALDUS NOVADS,4111903326,Saldus novada pašvaldības Pampāļu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Pumpuriņi"", PAMPĀĻI, PAMPĀĻU PAGASTS, SALDUS NOVADS, LV-3882",pampalu.sakumskola@saldus.lv,29428727,INGRĪDA VANAGA,40,16
574,SALDUS NOVADS,4112900012,Saldus novada pašvaldības Lutriņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, LUTRIŅI, LUTRIŅU PAGASTS, SALDUS NOVADS, LV-3861",lutrinu.pamatskola@saldus.lv,63831367,INGA VOROBJOVA,0,69
575,SALDUS NOVADS,4112900014,Saldus pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIELĀ IELA 31/35, SALDUS, SALDUS NOVADS, LV-3801",saldus.pamatskola@saldus.lv,63821262,DACE BALANDĪNA,0,384
576,SALDUS NOVADS,4112900627,Saldus novada pašvaldības Rubas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Rubas pamatskola"", RUBAS PAGASTS, SALDUS NOVADS, LV-3894",rubas.pamatskola@saldus.lv,"63825665, 63825631",INITA VOLBERGA,18,38
577,SALDUS NOVADS,4112901264,Saldus novada pašvaldības Zirņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Zirņu pamatskola"", ZIRŅI, ZIRŅU PAGASTS, SALDUS NOVADS, LV-3853",zirnu.pamatskola@saldus.lv,25708741,ANTRA ARZAŅĀJEVA,35,77
578,SALDUS NOVADS,4112901332,Cieceres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"KALNSĒTAS IELA 13, SALDUS, SALDUS NOVADS, LV-3801",cieceres.internatpamatskola@saldus.lv,63881021,VINETA VOVERE,0,154
579,SALDUS NOVADS,4112903134,Saldus novada pašvaldības Ezeres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"CENTRA IELA 5, EZERE, EZERES PAGASTS, SALDUS NOVADS, LV-3891",ezeres.pamatskola@saldus.lv,63842284,INITA VOLBERGA,38,103
580,SALDUS NOVADS,4113900415,Saldus novada pašvaldības Druvas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 2, DRUVA, SALDUS PAGASTS, SALDUS NOVADS, LV-3862",druvas.vidusskola@saldus.lv,"63839440, 63839490",SERGEJS BEĻKEVIČS,0,507
581,SALDUS NOVADS,4113900416,Nīgrandes pagasta Kalnu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KALNU IELA 4, KALNI, NĪGRANDES PAGASTS, SALDUS NOVADS, LV-3898",kalnu.vidusskola@saldus.lv,63842501,INETA GANGNUSA,0,157
582,SALDUS NOVADS,4113903122,Saldus vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"J.Rozentāla iela 19, SALDUS, SALDUS NOVADS, LV-3801",saldus.vidusskola@saldus.lv,63881007,INGA MANKUS,50,658
583,SALDUS NOVADS,4122903247,Kalnsētas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"KALNSĒTAS IELA 2, SALDUS, SALDUS NOVADS, LV-3801",kalnsetas.internatpamatskola@saldus.lv,26820484,VINETA VOVERE,116,82
584,SAULKRASTU NOVADS,4313901093,Saulkrastu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SMILŠU IELA 3, SAULKRASTI, SAULKRASTU NOVADS, LV-2160",saulkrastuvsk@inbox.lv,67951638,VELTA KALNAKĀRKLE,0,413
585,SAULKRASTU NOVADS,4313901120,Zvejniekciema vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ATPŪTAS IELA 1, ZVEJNIEKCIEMS, SAULKRASTU PAGASTS, SAULKRASTU NOVADS, LV-2161",zvskola@saulkrasti.lv,67954037,ANDRIS DULPIŅŠ,21,282
586,SĒJAS NOVADS,4312901114,Sējas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Sējas pamatskola"", LOJA, SĒJAS NOVADS, LV-2142",skola@seja.lv,"67977755, 67703155",INESE OZOLNIECE,0,123
587,SĒJAS NOVADS,4316001068,Murjāņu sporta ģimnāzija,Izglītības un zinātnes ministrija,Vispārējās izglītības iestāde,Ģimnāzija,"""Klintslejas 4"", MURJĀŅI, SĒJAS NOVADS, LV-2142",msg@msg.edu.lv,"67977832 , 29330201",INGRĪDA AMANTOVA,0,196
588,SIGULDAS NOVADS,4311902928,Laurenču sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LAURENČU IELA 7, SIGULDA, SIGULDAS NOVADS, LV-2150",laurencuskola@sigulda.lv,67973373,KRISTAPS ZAĻAIS,0,400
589,SIGULDAS NOVADS,4312900327,Mores pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SIGULDAS IELA 15, MORE, MORES PAGASTS, SIGULDAS NOVADS, LV-2170",mores.skola@sigulda.lv,64147217,TĪNA BLŪMA,28,103
590,SIGULDAS NOVADS,4312901089,Siguldas 1. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PULKVEŽA BRIEŽA IELA 105, SIGULDA, SIGULDAS NOVADS, LV-2150",1.pamatskola@sigulda.lv,28708685,VALTERS MAČS,0,505
591,SIGULDAS NOVADS,4312901109,Allažu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5, ALLAŽI, ALLAŽU PAGASTS, SIGULDAS NOVADS, LV-2154",allazu.pamatskola@sigulda.lv,"67970954, 67970949",AINA KEPLERE,61,108
592,SIGULDAS NOVADS,4313902863,Siguldas pilsētas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA BARONA IELA 10, SIGULDA, SIGULDAS NOVADS, LV-2150",spv@sigulda.lv,67972419 67972544 67974384,ŅINA BALODE,0,1018
593,SIGULDAS NOVADS,4319901124,Siguldas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"ATA KRONVALDA IELA 7, SIGULDA, SIGULDAS NOVADS, LV-2150",svg@sigulda.lv,67971461,RŪDOLFS KALVĀNS,0,521
594,SKRĪVERU NOVADS,4513900975,Andreja Upīša Skrīveru vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"STACIJAS LAUKUMS 1, SKRĪVERI, SKRĪVERU NOVADS, LV-5125",admin@auv.skriveri.lv,65197626,ALDIS RAKSTIŅŠ,0,408
595,SKRUNDAS NOVADS,4112901185,Nīkrāces pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"DĀRZA IELA 3, DZELDA, NĪKRĀCES PAGASTS, SKRUNDAS NOVADS, LV-3320",nikrace.skola@inbox.lv,63354558,ANITA SEBEŽA,25,49
596,SKRUNDAS NOVADS,4113901187,Skrundas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIEPĀJAS IELA 12, SKRUNDA, SKRUNDAS NOVADS, LV-3326",skrvsk@kuldiga.lv,"63331286, 63331287",AINĀRS ZANKOVSKIS,37,331
597,SMILTENES NOVADS,4411901211,Launkalnes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LĪVU IELA 5, LAUNKALNE, LAUNKALNES PAGASTS, SMILTENES NOVADS, LV-4718",launkalnesk@inbox.lv,"64720140, 28370764",INĀRA GRUNDĀNE,52,19
598,SMILTENES NOVADS,4412901209,Blomes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"CĒSU IELA 13, BLOME, BLOMES PAGASTS, SMILTENES NOVADS, LV-4707",blomespsk@smiltene.lv,64774535,GUNTRA DŪLE,45,67
599,SMILTENES NOVADS,4412901216,Bilskas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Bilskas pamatskola"", BILSKA, BILSKAS PAGASTS, SMILTENES NOVADS, LV-4706",bilskaspsk@smiltene.lv,64773110,MĀRĪTE JANSONE,35,46
600,SMILTENES NOVADS,4412901218,Palsmanes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Pamatskola"", PALSMANE, PALSMANES PAGASTS, SMILTENES NOVADS, LV-4724",palsmanes_pamatskola@inbox.lv,64773174,DACE PĒRLE,0,138
601,SMILTENES NOVADS,4412901219,Variņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"OKTOBRA IELA 15, VARIŅI, VARIŅU PAGASTS, SMILTENES NOVADS, LV-4726",varinupsk@smiltene.lv,"64722316, 28701990",TAIGA KALNIŅA,22,52
602,SMILTENES NOVADS,4412901221,Grundzāles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"TILTA IELA 6, GRUNDZĀLE, GRUNDZĀLES PAGASTS, SMILTENES NOVADS, LV-4713",grundzalespsk@smiltene.lv,"64728554 ,  25450797",VALDA ELSTIŅA,46,95
603,SMILTENES NOVADS,4413903133,Smiltenes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DAKTERU IELA 27, SMILTENE, SMILTENES NOVADS, LV-4729",ilze.vergina@inbox.lv,29188341,ILZE VERGINA,131,869
604,SMILTENES NOVADS,4422900893,Smiltenes novada speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Speciālā internātskola"", PALSMANE, PALSMANES PAGASTS, SMILTENES NOVADS, LV-4724",palsmanesp@hawk.lv,"64773863, 64773635",INGA AUGA,9,64
605,STOPIŅU NOVADS,4311903380,Upesleju sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"SKOLAS IELA 12, UPESLEJAS, STOPIŅU NOVADS, LV-2118",skola@upeslejuskola.lv,67956088,IRĒNA FRANKOVIČA,128,24
606,STOPIŅU NOVADS,4312901128,Stopiņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LĪDUMNIEKU IELA 10, SAURIEŠI, STOPIŅU NOVADS, LV-2118",stopsk@stopsk.lv,"67956817, 67956645",GINTA OZOLIŅA,128,183
607,STOPIŅU NOVADS,4313901107,Ulbrokas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Ulbrokas vidusskola"", VĀLODZES, STOPIŅU NOVADS, LV-2130",ulbrokas.skola@u-vsk.lv,67910372,NORMUNDS BALABKA,0,971
608,STOPIŅU NOVADS,4322901127,Gaismas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"KAUDZĪŠU IELA 31, RUMBULA, STOPIŅU NOVADS, LV-2121",info@gaismasskola.lv,67703825,VITA FELSBERGA,0,91
609,STRENČU NOVADS,4412903362,Strenču pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĪGAS IELA 13, STRENČI, STRENČU NOVADS, LV-4730",vidusskola@strencunovads.lv,"64715635, 64715636",DACE GAIGALA,0,193
610,TALSU NOVADS,4111900602,Lībagu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Lībagu sākumskola"", DIŽSTENDE, LĪBAGU PAGASTS, TALSU NOVADS, LV-3258",libagusakumskola@talsi.lv,26396227,VĒSMA GAIZIŅA,60,37
611,TALSU NOVADS,4111903325,Virbu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"SKOLAS IELA 1, JAUNPAGASTS, VIRBU PAGASTS, TALSU NOVADS, LV-3292",virbusakumskola@talsi.lv,63252386,MADARA ŠTRAUSA,39,14
612,TALSU NOVADS,4112900593,Talsu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"GAISMAS IELA 1, TALSI, TALSU NOVADS, LV-3201",talsupamatskola@talsi.lv,63291840,DINA BIČULE,0,285
613,TALSU NOVADS,4112900594,Laucienes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Laucienes pamatskola"", LAUCIENE, LAUCIENES PAGASTS, TALSU NOVADS, LV-3285",laucpsk@inbox.lv,63291459 63291469,SIGNETA ŠVEIDUKA,32,105
614,TALSU NOVADS,4112900595,Pastendes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, PASTENDE, ĢIBUĻU PAGASTS, TALSU NOVADS, LV-3251",pastendespamatskola@talsi.lv,63221128,LELDE HODJAČIKA,0,147
615,TALSU NOVADS,4112900610,Stendes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BRĪVĪBAS IELA 15, STENDE, TALSU NOVADS, LV-3257",stendespamatskola@talsi.lv,63291645,ELĪNA VĪTOLA,76,79
